k,best_mean,final_mean,gap_mean,gap_std,n_seeds,bartlett_r,ntk_kappa,hessian_per_p,stable_rank,participation
0.0625,24.020,23.830,0.190,0.000,1,1.3182,,0.0259,1.3182,1.6330
0.125,,,,,,1.1404,18.7155,0.0916,1.1404,1.2904
0.1875,,,,,,2.4814,558.7883,0.3680,2.4814,4.2939
0.25,,,,,,2.6568,79.1294,,2.6568,4.7956
0.3,51.105,50.005,1.100,0.100,2,,,,,
0.375,,,,,,3.0115,,,3.0115,5.7231
0.4,50.435,47.605,2.830,0.500,2,,,,,
0.5,54.080,48.390,5.690,0.000,1,3.9782,40.2560,0.2227,3.9782,7.4518
0.6,52.000,46.680,5.320,0.820,2,,,,,
0.75,,,,,,5.5470,,,5.5470,9.9113
1.0,,,,,,5.7035,,,5.7035,10.3111
2.0,56.710,56.400,0.310,0.000,1,5.9950,,0.0008,5.9950,10.2654
