scope,source,n,k,seed,params,best_test_acc,final_test_acc,gap_best_minus_final,final_train_acc
main,results/dd_recovery_5090_focused/main/summary.json,4000,0.0625,7,823,25.6900,25.6900,0.0000,24.95
main,results/dd_recovery_5090_focused/main/summary.json,4000,0.125,7,2988,32.8900,32.8900,0.0000,32.65
main,results/dd_recovery_5090_focused/main/summary.json,4000,0.1875,7,6505,49.1700,48.8900,0.2800,49.65
main,results/dd_recovery_5090_focused/main/summary.json,4000,0.25,7,11374,52.3000,52.2500,0.0500,56.725
main,results/dd_recovery_5090_focused/main/summary.json,4000,0.375,7,25168,50.5400,49.1200,1.4200,69.075
main,results/dd_recovery_5090_focused/main/summary.json,4000,0.5,7,44370,51.1800,47.0900,4.0900,82.05
main,results/dd_recovery_5090_focused/main/summary.json,4000,0.75,7,98998,54.1700,49.3900,4.7800,98.625
main,results/dd_recovery_5090_focused/main/summary.json,4000,1.0,7,175258,52.8600,51.0300,1.8300,99.425
main,results/dd_recovery_5090_focused/main/summary.json,4000,2.0,7,696618,55.0600,52.8100,2.2500,99.85
nslice,results/dd_recovery_5090_focused/nslice/summary.json,8000,0.125,42,2988,39.7300,39.7300,0.0000,35.525
nslice,results/dd_recovery_5090_focused/nslice/summary.json,8000,0.25,42,11374,57.5000,57.5000,0.0000,57.675
nslice,results/dd_recovery_5090_focused/nslice/summary.json,8000,0.5,42,44370,60.4300,56.9400,3.4900,77.7125
nslice,results/dd_recovery_5090_focused/nslice/summary.json,8000,1.0,42,175258,59.7100,55.2700,4.4400,98.725
samplewise,results/samplewise_nn/summary.json,1000,0.0625,42,823,12.8300,12.2200,0.6100,13.7
samplewise,results/samplewise_nn/summary.json,1000,0.0625,7,823,15.1000,14.8600,0.2400,15.3
samplewise,results/samplewise_nn/summary.json,1000,0.125,42,2988,23.8800,23.8800,0.0000,26.1
samplewise,results/samplewise_nn/summary.json,1000,0.125,7,2988,25.8500,25.6200,0.2300,25.0
samplewise,results/samplewise_nn/summary.json,1000,0.25,42,11374,36.6500,35.5900,1.0600,58.0
samplewise,results/samplewise_nn/summary.json,1000,0.25,7,11374,39.3400,37.7000,1.6400,56.2
samplewise,results/samplewise_nn/summary.json,1000,0.5,42,44370,39.9500,37.6300,2.3200,96.5
samplewise,results/samplewise_nn/summary.json,1000,0.5,7,44370,39.9600,37.2900,2.6700,94.7
samplewise,results/samplewise_nn/summary.json,1000,1.0,42,175258,40.5100,38.5000,2.0100,99.5
samplewise,results/samplewise_nn/summary.json,1000,1.0,7,175258,38.9200,37.2900,1.6300,100.0
samplewise,results/samplewise_nn/summary.json,2000,0.0625,42,823,21.1700,21.1700,0.0000,19.3
samplewise,results/samplewise_nn/summary.json,2000,0.0625,7,823,20.9100,20.9100,0.0000,21.6
samplewise,results/samplewise_nn/summary.json,2000,0.125,42,2988,26.7000,26.7000,0.0000,27.75
samplewise,results/samplewise_nn/summary.json,2000,0.125,7,2988,28.6200,28.6200,0.0000,28.35
samplewise,results/samplewise_nn/summary.json,2000,0.25,42,11374,44.1700,43.2900,0.8800,54.5
samplewise,results/samplewise_nn/summary.json,2000,0.25,7,11374,45.4000,44.3400,1.0600,56.35
samplewise,results/samplewise_nn/summary.json,2000,0.5,42,44370,45.7200,43.1100,2.6100,89.4
samplewise,results/samplewise_nn/summary.json,2000,0.5,7,44370,45.5300,41.0700,4.4600,85.9
samplewise,results/samplewise_nn/summary.json,2000,1.0,42,175258,46.1600,42.6800,3.4800,99.45
samplewise,results/samplewise_nn/summary.json,2000,1.0,7,175258,45.9200,40.2800,5.6400,97.6
depth,results/depth_ablation/summary.json,4000,0.5,42,11122,53.6900,53.2100,0.4800,55.775
depth,results/depth_ablation/summary.json,4000,0.5,7,11122,50.6000,50.6000,0.0000,53.85
depth,results/depth_ablation/summary.json,4000,0.5,42,176402,48.6500,45.4400,3.2100,96.325
depth,results/depth_ablation/summary.json,4000,0.5,7,176402,46.8900,43.2100,3.6800,96.1
