scope,n,k,params,n_seeds,best_mean,best_std,final_mean,final_std,gap_mean,gap_std
depth,4000,0.5,11122,4,49.957,2.523,48.115,3.980,1.842,1.620
main,4000,0.0625,823,1,25.690,0.000,25.690,0.000,0.000,0.000
main,4000,0.125,2988,1,32.890,0.000,32.890,0.000,0.000,0.000
main,4000,0.1875,6505,1,49.170,0.000,48.890,0.000,0.280,0.000
main,4000,0.25,11374,1,52.300,0.000,52.250,0.000,0.050,0.000
main,4000,0.375,25168,1,50.540,0.000,49.120,0.000,1.420,0.000
main,4000,0.5,44370,1,51.180,0.000,47.090,0.000,4.090,0.000
main,4000,0.75,98998,1,54.170,0.000,49.390,0.000,4.780,0.000
main,4000,1.0,175258,1,52.860,0.000,51.030,0.000,1.830,0.000
main,4000,2.0,696618,1,55.060,0.000,52.810,0.000,2.250,0.000
nslice,8000,0.125,2988,1,39.730,0.000,39.730,0.000,0.000,0.000
nslice,8000,0.25,11374,1,57.500,0.000,57.500,0.000,0.000,0.000
nslice,8000,0.5,44370,1,60.430,0.000,56.940,0.000,3.490,0.000
nslice,8000,1.0,175258,1,59.710,0.000,55.270,0.000,4.440,0.000
samplewise,1000,0.0625,823,2,13.965,1.135,13.540,1.320,0.425,0.185
samplewise,1000,0.125,2988,2,24.865,0.985,24.750,0.870,0.115,0.115
samplewise,1000,0.25,11374,2,37.995,1.345,36.645,1.055,1.350,0.290
samplewise,1000,0.5,44370,2,39.955,0.005,37.460,0.170,2.495,0.175
samplewise,1000,1.0,175258,2,39.715,0.795,37.895,0.605,1.820,0.190
samplewise,2000,0.0625,823,2,21.040,0.130,21.040,0.130,0.000,0.000
samplewise,2000,0.125,2988,2,27.660,0.960,27.660,0.960,0.000,0.000
samplewise,2000,0.25,11374,2,44.785,0.615,43.815,0.525,0.970,0.090
samplewise,2000,0.5,44370,2,45.625,0.095,42.090,1.020,3.535,0.925
samplewise,2000,1.0,175258,2,46.040,0.120,41.480,1.200,4.560,1.080
