noise_rate,lambda,num_seeds,peak_test_mse_mean,peak_test_mse_std,best_test_acc_mean,best_test_acc_std,peak_solution_norm_mean,peak_solution_norm_std,peak_regularized_condition_number_mean,peak_regularized_condition_number_std,peak_effective_degrees_of_freedom_mean,peak_effective_degrees_of_freedom_std
0.0,0.0,5,19103.4097014948,38085.3084968102,87.252,0.36306473252024646,10250.805054399967,18235.811771964556,435741434622.1254,868200366870.2568,999.9973820534475,0.005209407847787127
0.0,1e-06,5,6.408428976813188,0.8349127676103317,87.252,0.36306473252024646,388.42728006913256,25.566485961642556,136725917.9435978,20796754.465823345,997.8854943184688,0.3687458695595535
0.0,0.0001,5,0.6231286334194495,0.022881731943360847,87.27000000000001,0.35547151784636616,118.67538014566341,1.9245696045915424,1407035.6365287355,230440.63152410416,976.6357844489933,5.786565183730533
0.0,0.01,5,0.09163921324665536,0.002441578513919083,88.238,0.33379035336570373,39.48053629009366,1.1975842647435886,15147.397849342029,455.4362558582028,819.4135282520554,14.983863044942657
0.0,0.1,5,0.04504356254874586,0.00031590460127770464,90.27799999999999,0.19701776569639226,20.6240556475154,0.17414803960786074,1461.0449643731292,30.487586141474445,566.7238873630846,1.1537108988082123
0.1,0.0,5,26899.262165301614,53557.17350867507,75.356,0.5812606988262686,12276.700634773226,21577.263692082044,435741434622.1254,868200366870.2568,999.9973820534475,0.005209407847787127
0.1,1e-06,5,12.726216102204045,1.9114449123130213,75.35799999999999,0.5775257570013652,546.5534885500854,41.11461793674364,136725917.9435978,20796754.465823345,997.8854943184688,0.3687458695595535
0.1,0.0001,5,1.1604146778002846,0.04143352232984944,75.42800000000001,0.574296090879955,163.64485536077024,2.9312543996250553,1408027.500227337,188541.10173779645,984.0865536135188,3.355114244736668
0.1,0.01,5,0.13404922298443842,0.002450996678045488,79.18799999999999,0.4365042955115089,48.51483491656443,1.2467444728528665,15236.845274521493,658.9043793944045,822.2271785321149,18.543688806902175
0.1,0.1,5,0.055939481856329944,0.0003585102850632162,85.95599999999999,0.2725142198124727,23.27322175053175,0.2020422250009665,1461.0449643731292,30.487586141474445,566.7238873630846,1.1537108988082123
0.2,0.0,5,59041.54218250958,117529.3063746748,62.59000000000001,1.4444791448823338,18153.46067419647,31985.621698294854,435741434622.1254,868200366870.2568,999.9973820534475,0.005209407847787127
0.2,1e-06,5,19.561821328214073,4.119552255934259,62.58800000000001,1.4419902912294535,676.4258162595436,72.70619874519141,136725917.9435978,20796754.465823345,997.8854943184688,0.3687458695595535
0.2,0.0001,5,1.6386595922402496,0.02712662757105886,62.68799999999999,1.4289492643197652,193.98874559125616,1.0947234704553284,1395499.4283741198,192058.06434463186,984.0179276626935,3.4954621808346698
0.2,0.01,5,0.17566065036885065,0.0033638128424157893,68.274,0.7390426239399189,57.03995888234844,0.1935485107041413,15558.508263705004,283.5373889640528,839.196557936755,8.632904199479286
0.2,0.1,5,0.06712892757128733,0.0008183384097360722,80.02000000000001,0.4497554891271474,25.453240750732828,0.09652175206887244,1461.0449643731292,30.487586141474445,566.7238873630846,1.1537108988082123
0.4,0.0,5,68879.24830636314,137128.5607582573,40.774,1.8162775118356789,19650.879809756287,34520.05404645773,435741434622.1254,868200366870.2568,999.9973820534475,0.005209407847787127
0.4,1e-06,5,28.418915833768175,6.350509558661075,40.774,1.8210722116379694,816.4612214021273,88.29763532965072,136725917.9435978,20796754.465823345,997.8854943184688,0.3687458695595535
0.4,0.0001,5,2.510470681829778,0.096589464338088,40.85600000000001,1.813820277756316,240.11022658939146,3.5675158344215543,1402007.939434329,186387.35108424682,983.8785261554447,3.437272377471791
0.4,0.01,5,0.24638551393835573,0.004276209381644394,46.699999999999996,1.6454908082392936,67.24302748712971,0.46752482349929225,15399.693113181736,191.5260194809895,840.9046114345476,9.777010239409874
0.4,0.1,5,0.09115287718639895,0.0011369416036083762,61.986000000000004,1.2303267858581293,29.21138141900027,0.798463463621308,1500.7187318342017,59.3757844693317,578.9507827947397,15.37576641018969
