seed,noise_rate,lambda,peak_test_mse,peak_p_over_n,peak_test_acc,peak_solution_norm,peak_regularized_condition_number,peak_effective_degrees_of_freedom,best_test_acc,best_acc_p_over_n
42,0.0,0.0,47.533613371254326,1.0,13.120000000000001,1049.2752823904568,1041013733.1675506,999.9999912835452,87.75,2.0
42,0.0,1e-06,7.286500523897402,1.0,16.55,413.1940305263785,136224993.24221593,997.7458615046934,87.75,2.0
42,0.0,0.0001,0.6260619768331412,0.98,38.11,118.22335875035684,1134485.9743842334,969.4124918972341,87.74,2.0
42,0.0,0.01,0.09202131334811911,0.9,74.18,38.91011989995091,14632.185533992957,802.396092336582,88.75,2.0
42,0.0,0.1,0.04485764988846429,0.8,85.6,20.854426195698963,1514.3644804387593,566.4044810231911,90.66,2.0
42,0.1,0.0,65.22318296210089,1.0,12.379999999999999,1229.0629462884733,1041013733.1675506,999.9999912835452,75.9,2.0
42,0.1,1e-06,14.407549639207405,1.0,15.17,576.6166831658194,136224993.24221593,997.7458615046934,75.9,2.0
42,0.1,0.0001,1.104676464156329,1.0,26.979999999999997,159.94346592698568,1564993.4680817467,981.664528586901,75.98,2.0
42,0.1,0.01,0.13477368884566934,0.9,60.809999999999995,47.4179873439935,14632.185533992957,802.396092336582,79.85,2.0
42,0.1,0.1,0.0552933193043214,0.8,80.28999999999999,23.644520984650757,1514.3644804387593,566.4044810231911,86.36,2.0
42,0.2,0.0,129.24527399655733,1.0,11.29,1728.862965652075,1041013733.1675506,999.9999912835452,62.21,2.0
42,0.2,1e-06,24.824967967763875,1.0,12.53,760.3335855567916,136224993.24221593,997.7458615046934,62.21,2.0
42,0.2,0.0001,1.65294713990786,1.0,20.13,194.32507307111945,1564993.4680817467,981.664528586901,62.3,2.0
42,0.2,0.01,0.1757833763395551,0.98,49.370000000000005,57.23318697712656,15301.846753305916,837.8964258673323,68.43,2.0
42,0.2,0.1,0.06625205643250257,0.8,73.29,25.62870324185263,1514.3644804387593,566.4044810231911,80.42,2.0
42,0.4,0.0,67.96978700441369,1.0,10.69,1266.1039094245548,1041013733.1675506,999.9999912835452,42.0,2.0
42,0.4,1e-06,28.44885100603403,1.0,11.799999999999999,821.5580071910192,136224993.24221593,997.7458615046934,42.0,2.0
42,0.4,0.0001,2.515738056898832,1.02,14.030000000000001,240.77974929543413,1218411.627002248,987.8592419027725,42.08,2.0
42,0.4,0.01,0.24466717882212333,1.0,34.77,67.99468256876082,15674.251052615082,845.9093806948242,48.22,2.0
42,0.4,0.1,0.08929137773164943,0.8,55.11000000000001,28.477122779207708,1514.3644804387593,566.4044810231911,64.21,2.0
123,0.0,0.0,44.50132499169762,1.0,14.030000000000001,1029.1722737428208,651919713.9880267,999.9999945813181,87.33999999999999,2.0
123,0.0,1e-06,7.031711377279747,1.0,17.32,408.1220733958169,126625789.56601919,998.2202256292239,87.33999999999999,2.0
123,0.0,0.0001,0.593664598793261,1.0,39.900000000000006,117.0070567919,1567718.5940125766,981.3800741570067,87.38,2.0
123,0.0,0.01,0.09446771888388619,0.95,72.77,40.4120718227249,15415.7404398379,825.3442948957504,88.26,2.0
123,0.0,0.1,0.045531063874557874,0.8,84.32,20.368602280565053,1425.4049331358665,565.4103199522883,90.18,2.0
123,0.1,0.0,41.85283908540689,1.0,11.93,1003.4989530292731,651919713.9880267,999.9999945813181,74.27,2.0
123,0.1,1e-06,15.337787758104183,1.0,12.540000000000001,606.2564651759526,126625789.56601919,998.2202256292239,74.28,2.0
123,0.1,0.0001,1.1723933481657285,1.0,24.51,164.7996873384128,1567718.5940125766,981.3800741570067,74.35000000000001,2.0
123,0.1,0.01,0.13832949403374056,0.95,59.53000000000001,49.777715296690886,15415.7404398379,825.3442948957504,78.72,2.0
123,0.1,0.1,0.05638901980310273,0.8,78.3,23.084191218114167,1425.4049331358665,565.4103199522883,86.17,2.0
123,0.2,0.0,70.43984972190908,1.0,11.29,1302.665786064097,651919713.9880267,999.9999945813181,60.06,2.0
123,0.2,1e-06,20.42769615615774,1.0,12.540000000000001,702.4184218500172,126625789.56601919,998.2202256292239,60.06,2.0
123,0.2,0.0001,1.6327286047827123,1.02,20.990000000000002,194.13465291951113,1188594.1976320308,988.2717950091226,60.18,2.0
123,0.2,0.01,0.18185633137304058,0.95,49.07,56.95597809353897,15415.7404398379,825.3442948957504,67.03,2.0
123,0.2,0.1,0.06790647631368982,0.8,70.93,25.42765685590347,1425.4049331358665,565.4103199522883,80.19,2.0
123,0.4,0.0,180.10392464153782,1.0,11.44,2068.1079080990507,651919713.9880267,999.9999945813181,37.87,2.0
123,0.4,1e-06,26.420512637839565,1.0,11.59,790.2435798275333,126625789.56601919,998.2202256292239,37.86,2.0
123,0.4,0.0001,2.6682630519892694,1.0,14.17,246.5084221233524,1567718.5940125766,981.3800741570067,37.940000000000005,2.0
123,0.4,0.01,0.25462370483690033,0.95,33.44,66.80817148452394,15415.7404398379,825.3442948957504,43.919999999999995,2.0
123,0.4,0.1,0.09278615776313318,0.8,53.459999999999994,28.900498484115342,1425.4049331358665,565.4103199522883,60.760000000000005,2.0
456,0.0,0.0,17.9890842709581,1.0,14.49,657.1405975147735,322783125.2481587,999.9999962727195,86.78,2.0
456,0.0,1e-06,6.869692286415028,1.0,17.24,404.13658102429207,104936861.14689814,998.0906275734974,86.78,2.0
456,0.0,0.0001,0.6384972449753312,0.98,38.15,119.5341740166713,1124373.879056956,969.7079905884002,86.81,2.0
456,0.0,0.01,0.09306910234399694,0.95,73.74000000000001,40.237217064877925,15753.67857601417,827.848935121835,87.83,2.0
456,0.0,0.1,0.04466521977088935,0.8,85.35000000000001,20.63472554556987,1461.9139047610925,568.589371665975,90.10000000000001,2.0
456,0.1,0.0,28.885083771159746,1.0,11.95,832.6740511697355,322783125.2481587,999.9999962727195,75.64999999999999,2.0
456,0.1,1e-06,10.486085460019615,1.0,14.06,497.862125100127,104936861.14689814,998.0906275734974,75.64999999999999,2.0
456,0.1,0.0001,1.1526261424502282,1.0,25.290000000000003,162.6922449009875,1547396.6139012144,981.0141318560263,75.7,2.0
456,0.1,0.01,0.1333568876824811,0.95,60.69,48.6716672405776,15753.67857601417,827.848935121835,78.97999999999999,2.0
456,0.1,0.1,0.05601879811705854,0.8,78.93,23.30620169992061,1461.9139047610925,568.589371665975,85.8,2.0
456,0.2,0.0,48.80716923550879,1.0,10.620000000000001,1070.192631189757,322783125.2481587,999.9999962727195,63.019999999999996,2.0
456,0.2,1e-06,21.453015727643137,1.0,11.5,708.8711676709648,104936861.14689814,998.0906275734974,63.019999999999996,2.0
456,0.2,0.0001,1.6330492859838213,1.0,20.02,194.25938266080811,1547396.6139012144,981.0141318560263,63.11,2.0
456,0.2,0.01,0.17535345664171667,0.98,48.35,56.88836805690389,15683.663665072154,840.4837317629675,67.94,2.0
456,0.2,0.1,0.06773808527997859,0.8,72.09,25.443542375426908,1461.9139047610925,568.589371665975,79.47999999999999,2.0
456,0.4,0.0,102.30718014772944,1.0,10.84,1555.078008824248,322783125.2481587,999.9999962727195,42.22,2.0
456,0.4,1e-06,39.44449175499663,1.0,10.8,963.537734665874,104936861.14689814,998.0906275734974,42.230000000000004,2.0
456,0.4,0.0001,2.3893378534128993,1.0,15.740000000000002,236.56729453027913,1547396.6139012144,981.0141318560263,42.27,2.0
456,0.4,0.01,0.24307927023447198,1.02,33.61,67.57461440797287,15089.77328917692,855.1522414679544,47.33,2.0
456,0.4,0.1,0.09080866785309856,0.9,53.94,30.349888071418206,1553.2427721283618,598.4050088160706,62.050000000000004,2.0
789,0.0,0.0,133.03713623192587,1.0,13.350000000000001,1803.620169539747,4551948756.63366,999.9999648668925,87.49,2.0
789,0.0,1e-06,5.121171851556448,1.0,18.58,348.0973031720735,149224518.91732183,997.2237764339513,87.49,2.0
789,0.0,0.0001,0.6018522328325077,1.0,37.95,116.66050515066031,1542299.5882731113,980.8395814036958,87.51,2.0
789,0.0,0.01,0.08721558704933528,0.9,73.56,37.375576350949814,14601.977304757185,801.7241265131945,88.42,2.0
789,0.0,0.1,0.04488110550523328,0.8,84.17,20.50262895997916,1465.2151711872054,565.7950121959216,90.2,2.0
789,0.1,0.0,346.99796527636136,1.0,11.360000000000001,2912.635400989334,4551948756.63366,999.9999648668925,75.7,2.0
789,0.1,1e-06,12.564638723697533,1.0,15.28,545.6298446170242,149224518.91732183,997.2237764339513,75.7,2.0
789,0.1,0.0001,1.141780478175719,1.02,26.35,162.16196453928862,1225815.551158652,988.0744320099384,75.75,2.0
789,0.1,0.01,0.1327337422739414,1.02,59.830000000000005,49.91820267774452,16057.883068201123,852.5041447648102,79.55,2.0
789,0.1,0.1,0.05606837141927863,0.8,78.58000000000001,23.22152582570344,1465.2151711872054,565.7950121959216,85.85000000000001,2.0
789,0.2,0.0,859.8401304458336,1.0,11.16,4591.031346713829,4551948756.63366,999.9999648668925,63.27,2.0
789,0.2,1e-06,18.766099389569273,1.0,13.459999999999999,666.616515832602,149224518.91732183,997.2237764339513,63.27,2.0
789,0.2,0.0001,1.6785460853212943,1.0,21.54,195.27077879686877,1542299.5882731113,980.8395814036958,63.41,2.0
789,0.2,0.01,0.17273550828196255,1.02,49.27,57.30509682345027,16057.883068201123,852.5041447648102,69.12,2.0
789,0.2,0.1,0.06601556230854728,0.8,72.33000000000001,25.332056041766712,1465.2151711872054,565.7950121959216,80.52,2.0
789,0.4,0.0,910.1890080881411,1.0,11.35,4717.474626554295,4551948756.63366,999.9999648668925,39.4,2.0
789,0.4,1e-06,28.07792804543855,1.0,12.379999999999999,819.4572719250666,149224518.91732183,997.2237764339513,39.4,2.0
789,0.4,0.0001,2.545047076178461,1.0,17.03,239.66810866222636,1542299.5882731113,980.8395814036958,39.51,2.0
789,0.4,0.01,0.2462811175970927,0.98,32.51,66.82224227811763,15485.29339217086,838.3629477212946,45.81,2.0
789,0.4,0.1,0.09159413692085963,0.9,52.72,29.955704457830784,1572.2551411252996,597.1138522041012,60.92999999999999,2.0
1024,0.0,0.0,95273.98734860816,1.0,10.26,46714.81694881203,2172139507781.5898,999.9869632627618,86.9,2.0
1024,0.0,1e-06,5.733068844917317,1.0,18.54,368.58641222710173,166617426.84553382,998.1469804509779,86.9,2.0
1024,0.0,0.0001,0.6555671136630061,1.0,36.04,121.95180601872867,1666300.1469168016,981.8387841986294,86.91,2.0
1024,0.0,0.01,0.09142234460793927,0.98,74.41,40.46769631196477,15333.407392107927,839.7541923929148,87.92999999999999,2.0
1024,0.0,0.1,0.0452827737045845,0.8,85.11999999999999,20.75989525576397,1438.3263323427213,567.4202519780467,90.25,2.0
1024,0.1,0.0,134013.35175541302,1.0,10.72,55405.63182238931,2172139507781.5898,999.9869632627618,75.26,2.0
1024,0.1,1e-06,10.835018929991485,1.0,13.450000000000001,506.40232469150413,166617426.84553382,998.1469804509779,75.26,2.0
1024,0.1,0.0001,1.2305969560534178,1.02,24.779999999999998,168.62691409817654,1134213.273982495,988.2996014577221,75.36,2.0
1024,0.1,0.01,0.1310523020863597,0.9,61.06,46.788602023815656,14324.738754561313,803.0424255415963,78.84,2.0
1024,0.1,0.1,0.05592790063788844,0.8,78.43,23.109669024269778,1438.3263323427213,567.4202519780467,85.6,2.0
1024,0.2,0.0,294099.3784891481,1.0,11.29,82074.5506413626,2172139507781.5898,999.9869632627618,64.39,2.0
1024,0.2,1e-06,12.337327399936337,1.0,12.370000000000001,543.8893903873418,166617426.84553382,998.1469804509779,64.38000000000001,2.0
1024,0.2,0.0001,1.5960268452055604,1.02,21.95,191.95384050797338,1134213.273982495,988.2996014577221,64.44,2.0
1024,0.2,0.01,0.17257457920797845,0.98,51.77,56.8171644607225,15333.407392107927,839.7541923929148,68.85,2.0
1024,0.2,0.1,0.06773245752171833,0.8,70.14,25.434245238714418,1438.3263323427213,567.4202519780467,79.49000000000001,2.0
1024,0.4,0.0,343135.67163193383,1.0,11.42,88647.63459587928,2172139507781.5898,999.9869632627618,42.38,2.0
1024,0.4,1e-06,19.702795724532102,1.0,12.16,687.5095134011431,166617426.84553382,998.1469804509779,42.38,2.0
1024,0.4,0.0001,2.433967370669429,1.02,15.27,237.02755833566525,1134213.273982495,988.2996014577221,42.480000000000004,2.0
1024,0.4,0.01,0.24327629820119032,0.98,34.65,67.01542669627325,15333.407392107927,839.7541923929148,48.22,2.0
1024,0.4,0.1,0.09128404566325396,0.8,53.14,28.37369330242931,1438.3263323427213,567.4202519780467,61.980000000000004,2.0
